學年度,校系代碼,系名,組別,錄取平均,原始總分
112,0022,政治學系政治理論組,文組,53.86,296.25
112,0023,政治學系國際關係組,文組,55.77,306.75
112,0024,政治學系公共行政組,文組,53.95,296.75
112,0025,經濟學系A組,文組,48.89,220.0
112,0026,經濟學系B組,文組,51.78,233.0
112,0027,社會學系,文組,51.4,257.0
112,0030,社會工作學系,文組,49.73,273.5
112,0031,醫學系(自費),醫學,56.6,283.0
112,0032,醫學系(公費),醫學,51.6,258.0
112,0033,牙醫學系,醫學,55.0,275.0
112,0034,藥學系,醫學,51.43,360.0
112,0035,醫學檢驗暨生物技術學系,醫學,48.6,243.0
112,0036,護理學系,醫學,46.2,231.0
112,0037,物理治療學系,醫學,48.6,243.0
112,0040,職能治療學系,醫學,50.84,241.5
112,0041,土木工程學系,理組,46.2,231.0
112,0042,機械工程學系,理組,49.4,247.0
112,0043,化學工程學系,理組,49.05,233.0
112,0044,工程科學及海洋工程學系,理組,48.67,292.0
112,0045,材料科學與工程學系,理組,51.8,259.0
112,0046,醫學工程學系,理組,49.0,245.0
112,0047,農藝學系,其他,44.5,244.75
112,0050,生物環境系統工程學系,理組,45.0,225.0
112,0051,農業化學系,理組,46.58,279.5
112,0052,森林環境暨資源學系,理組,41.58,249.5
112,0053,動物科學技術學系,理組,43.6,218.0
112,0054,農業經濟學系,文組,44.33,266.0
112,0055,園藝暨景觀學系,其他,46.36,255.0
112,0056,獸醫學系,醫學,50.4,252.0
112,0057,生物產業傳播暨發展學系,理組,48.23,313.5
112,0060,生物機電工程學系,理組,47.8,239.0
112,0061,昆蟲學系,理組,40.6,203.0
112,0062,植物病理與微生物學系,理組,45.8,229.0
112,0063,工商管理學系企業管理組A組,文組,48.8,244.0
112,0064,工商管理學系企業管理組B組,文組,52.8,264.0
112,0065,工商管理學系科技管理組,文組,47.4,237.0
112,0066,會計學系A組,文組,51.25,205.0
112,0067,會計學系B組,文組,51.38,308.25
112,0070,財務金融學系A組,文組,52.44,236.0
112,0071,財務金融學系B組,文組,56.78,255.5
112,0072,國際企業學系A組,文組,53.0,212.0
112,0073,國際企業學系B組,文組,53.33,320.0
112,0074,資訊管理學系,文組,50.89,229.0
112,0075,公共衛生學系A組,理組,46.5,255.75
112,0076,公共衛生學系B組,理組,51.58,245.0
112,0077,電機工程學系,理組,56.25,225.0
112,0100,資訊工程學系,理組,55.41,235.5
112,0101,法律學系法學組,文組,54.38,285.5
112,0102,法律學系司法組,文組,55.19,289.75
112,0103,法律學系財經法學組,文組,56.19,295.0
112,0104,生命科學系,理組,47.8,239.0
112,0105,生化科技學系,理組,47.2,236.0
112,0106,國際體育運動事務學士學位學程,其他,51.29,269.25
113,0001,中國文學系,文組,51.8,259.0
113,0002,外國語文學系,文組,53.86,282.75
113,0003,歷史學系,文組,52.6,263.0
113,0004,哲學系,文組,50.75,203.0
113,0005,人類學系,文組,51.36,282.5
113,0006,圖書資訊學系,文組,52.89,238.0
113,0007,日本語文學系,文組,52.83,317.0
113,0010,戲劇學系(男),文組,47.58,285.5
113,0011,戲劇學系(女),文組,48.42,290.5
113,0012,數學系,理組,50.17,301.0
113,0013,物理學系,理組,53.3,266.5
113,0014,化學系,理組,50.0,250.0
113,0015,地質科學系,理組,46.4,232.0
113,0016,心理學系,文組,50.0,250.0
113,0017,地理環境資源學系A組,其他,46.0,138.0
113,0020,地理環境資源學系B組,其他,53.92,175.25
113,0021,大氣科學系,理組,46.78,269.0
113,0022,政治學系政治理論組,文組,54.45,299.5
113,0023,政治學系國際關係組,文組,56.18,309.0
113,0024,政治學系公共行政組,文組,54.73,301.0
113,0025,經濟學系A組,文組,49.44,222.5
113,0026,經濟學系B組,文組,50.73,279.0
113,0027,社會學系,文組,51.2,256.0
113,0030,社會工作學系,文組,48.59,267.25
113,0031,醫學系(自費),醫學,57.4,287.0
113,0032,醫學系(公費),醫學,52.4,262.0
113,0033,牙醫學系,醫學,56.6,283.0
113,0034,藥學系,醫學,53.0,371.0
113,0035,醫學檢驗暨生物技術學系,醫學,50.8,254.0
113,0036,護理學系,醫學,48.2,241.0
113,0037,物理治療學系,醫學,50.6,253.0
113,0040,職能治療學系,醫學,51.79,246.0
113,0041,土木工程學系,理組,48.2,241.0
113,0042,機械工程學系,理組,51.0,255.0
113,0043,化學工程學系,理組,50.47,239.75
113,0044,工程科學及海洋工程學系,理組,50.33,302.0
113,0045,材料科學與工程學系,理組,52.4,262.0
113,0046,醫學工程學系,理組,50.6,253.0
113,0047,農藝學系,其他,46.64,256.5
113,0050,生物環境系統工程學系,理組,47.0,235.0
113,0051,農業化學系,理組,47.83,287.0
113,0052,森林環境暨資源學系,理組,43.42,260.5
113,0053,動物科學技術學系,理組,47.25,189.0
113,0054,農業經濟學系,文組,47.0,235.0
113,0055,園藝暨景觀學系,其他,47.64,262.0
113,0056,獸醫學系,醫學,52.2,261.0
113,0057,生物產業傳播暨發展學系,理組,48.54,315.5
113,0060,生物機電工程學系,理組,49.6,248.0
113,0061,昆蟲學系,理組,43.23,281.0
113,0062,植物病理與微生物學系,理組,47.4,237.0
113,0063,工商管理學系企業管理組A組,文組,49.4,247.0
113,0064,工商管理學系企業管理組B組,文組,52.4,262.0
113,0065,工商管理學系科技管理組,文組,48.2,241.0
113,0066,會計學系A組,文組,52.63,210.5
113,0067,會計學系B組,文組,51.54,309.25
113,0070,財務金融學系A組,文組,53.33,240.0
113,0071,財務金融學系B組,文組,56.44,254.0
113,0072,國際企業學系A組,文組,53.0,212.0
113,0073,國際企業學系B組,文組,53.33,320.0
113,0074,資訊管理學系,文組,54.22,244.0
113,0075,公共衛生學系A組,理組,47.91,263.5
113,0076,公共衛生學系B組,理組,49.47,235.0
113,0077,電機工程學系,理組,57.25,229.0
113,0100,資訊工程學系,理組,56.12,238.5
113,0101,法律學系法學組,文組,54.29,285.0
113,0102,法律學系司法組,文組,54.9,288.25
113,0103,法律學系財經法學組,文組,55.62,292.0
113,0104,生命科學系,理組,48.6,243.0
113,0105,生化科技學系,理組,48.2,241.0
113,0106,國際體育運動事務學士學位學程,其他,50.48,265.0
114,0001,中國文學系,文組,52.8,264.0
114,0002,外國語文學系,文組,52.12,325.75
114,0003,歷史學系,文組,52.0,260.0
114,0004,哲學系,文組,49.75,199.0
114,0005,人類學系,文組,51.91,285.5
114,0006,圖書資訊學系,文組,51.55,283.5
114,0007,日本語文學系,文組,51.67,310.0
114,0010,戲劇學系(男),文組,46.33,278.0
114,0011,戲劇學系(女),文組,48.58,291.5
114,0012,數學系,理組,51.08,306.5
114,0013,物理學系,理組,56.0,280.0
114,0014,化學系,理組,50.8,254.0
114,0015,地質科學系,理組,47.2,236.0
114,0016,心理學系,文組,50.6,253.0
114,0017,地理環境資源學系A組,其他,47.67,143.0
114,0020,地理環境資源學系B組,其他,55.85,181.5
114,0021,大氣科學系,理組,47.74,274.5
114,0022,政治學系政治理論組,文組,53.14,292.25
114,0023,政治學系國際關係組,文組,54.86,301.75
114,0024,政治學系公共行政組,文組,53.32,293.25
114,0025,經濟學系A組,文組,50.67,228.0
114,0026,經濟學系B組,文組,55.38,360.0
114,0027,社會學系,文組,50.8,254.0
114,0030,社會工作學系,文組,47.91,263.5
114,0031,醫學系(自費),醫學,57.6,288.0
114,0032,醫學系(公費),醫學,53.2,266.0
114,0033,牙醫學系,醫學,57.0,285.0
114,0034,藥學系,醫學,53.29,373.0
114,0035,醫學檢驗暨生物技術學系,醫學,51.0,255.0
114,0036,護理學系,醫學,48.0,240.0
114,0037,物理治療學系,醫學,51.4,257.0
114,0040,職能治療學系,醫學,51.79,246.0
114,0041,土木工程學系,理組,48.6,243.0
114,0042,機械工程學系,理組,51.8,259.0
114,0043,化學工程學系,理組,52.11,247.5
114,0044,工程科學及海洋工程學系,理組,52.0,312.0
114,0045,材料科學與工程學系,理組,53.6,268.0
114,0046,醫學工程學系,理組,51.2,256.0
114,0047,農藝學系,其他,46.68,256.75
114,0050,生物環境系統工程學系,理組,48.4,242.0
114,0051,農業化學系,理組,49.42,296.5
114,0052,森林環境暨資源學系,理組,44.33,266.0
114,0053,動物科學技術學系,理組,48.0,192.0
114,0054,農業經濟學系,文組,48.2,241.0
114,0055,園藝暨景觀學系,其他,45.73,251.5
114,0056,獸醫學系,醫學,52.4,262.0
114,0057,生物產業傳播暨發展學系,理組,46.69,303.5
114,0060,生物機電工程學系,理組,50.6,253.0
114,0061,昆蟲學系,理組,43.92,285.5
114,0062,植物病理與微生物學系,理組,48.0,240.0
114,0063,工商管理學系企業管理組,文組,55.0,275.0
114,0064,工商管理學系科技管理組,文組,50.2,251.0
114,0065,會計學系A組,文組,56.38,225.5
114,0066,會計學系B組,文組,54.17,325.0
114,0067,財務金融學系,文組,57.33,258.0
114,0070,國際企業學系A組,文組,53.25,213.0
114,0071,國際企業學系B組,文組,55.83,335.0
114,0072,資訊管理學系,文組,53.44,240.5
114,0073,公共衛生學系A組,理組,48.55,267.0
114,0074,公共衛生學系B組,理組,48.84,232.0
114,0075,電機工程學系,理組,57.25,229.0
114,0076,資訊工程學系,理組,56.59,240.5
114,0077,法律學系法學組,文組,54.67,287.0
114,0100,法律學系司法組,文組,55.33,290.5
114,0101,法律學系財經法學組,文組,56.57,297.0
114,0102,生命科學系,理組,49.2,246.0
114,0103,生化科技學系,理組,49.4,247.0
114,0104,國際體育運動事務學士學位學程,其他,50.29,264.0
115,0001,中國文學系,文組,53.1,265.5
115,0002,外國語文學系,文組,51.68,323.0
115,0003,歷史學系,文組,52.4,262.0
115,0004,哲學系,文組,51.25,205.0
115,0005,人類學系,文組,52.45,288.5
115,0006,圖書資訊學系,文組,51.32,282.25
115,0007,日本語文學系,文組,52.17,313.0
115,0010,戲劇學系(男),文組,46.83,281.0
115,0011,戲劇學系(女),文組,49.33,296.0
115,0012,數學系,理組,49.17,295.0
115,0013,物理學系,理組,54.2,271.0
115,0014,化學系,理組,49.6,248.0
115,0015,地質科學系,理組,45.8,229.0
115,0016,心理學系,文組,49.8,249.0
115,0017,地理環境資源學系A組,其他,45.67,137.0
115,0020,地理環境資源學系B組,其他,54.92,178.5
115,0021,大氣科學系,理組,46.3,266.25
115,0022,政治學系政治理論組,文組,53.45,294.0
115,0023,政治學系國際關係組,文組,54.82,301.5
115,0024,政治學系公共行政組,文組,53.68,295.25
115,0025,經濟學系A組,文組,48.67,219.0
115,0026,經濟學系B組,文組,55.54,361.0
115,0027,社會學系,文組,50.2,251.0
115,0030,社會工作學系,文組,48.05,264.25
115,0031,醫學系(自費),醫學,57.0,228.0
115,0032,醫學系(公費),醫學,52.5,210.0
115,0033,牙醫學系,醫學,56.0,280.0
115,0034,藥學系,醫學,52.57,368.0
115,0035,醫學檢驗暨生物技術學系,醫學,49.4,247.0
115,0036,護理學系,醫學,45.4,227.0
115,0037,物理治療學系,醫學,50.4,252.0
115,0040,職能治療學系,醫學,50.89,241.75
115,0041,土木工程學系,理組,46.8,234.0
115,0042,機械工程學系,理組,50.4,252.0
115,0043,化學工程學系,理組,51.76,271.75
115,0044,工程科學及海洋工程學系,理組,50.17,301.0
115,0045,材料科學與工程學系,理組,53.8,269.0
115,0046,醫學工程學系,理組,49.6,248.0
115,0047,農藝學系,其他,47.5,261.25
115,0050,生物環境系統工程學系,理組,46.6,233.0
115,0051,農業化學系,理組,48.42,290.5
115,0052,森林環境暨資源學系,理組,44.67,268.0
115,0053,動物科學技術學系,理組,46.25,185.0
115,0054,農業經濟學系A組,文組,47.4,237.0
115,0055,農業經濟學系B組,文組,54.2,271.0
115,0056,園藝暨景觀學系,其他,46.64,256.5
115,0057,獸醫學系,醫學,51.6,258.0
115,0060,生物產業傳播暨發展學系,理組,49.15,319.5
115,0061,生物機電工程學系,理組,48.8,244.0
115,0062,昆蟲學系,理組,43.92,285.5
115,0063,植物病理與微生物學系,理組,47.0,235.0
115,0064,工商管理學系企業管理組,文組,55.0,275.0
115,0065,工商管理學系科技管理組,文組,48.6,243.0
115,0066,會計學系A組,文組,55.75,223.0
115,0067,會計學系B組,文組,53.46,320.75
115,0070,財務金融學系,文組,56.89,256.0
115,0071,國際企業學系A組,文組,51.5,206.0
115,0072,國際企業學系B組,文組,55.5,333.0
115,0073,資訊管理學系,文組,50.78,228.5
115,0074,公共衛生學系A組,理組,46.77,257.25
115,0075,公共衛生學系B組,理組,48.89,232.25
115,0076,電機工程學系,理組,57.0,228.0
115,0077,資訊工程學系,理組,53.76,228.5
115,0100,法律學系法學組,文組,54.33,285.25
115,0101,法律學系司法組,文組,55.24,290.0
115,0102,法律學系財經法學組,文組,56.19,295.0
115,0103,生命科學系,理組,46.8,234.0
115,0104,生化科技學系,理組,48.2,241.0
115,0105,國際體育運動事務學士學位學程,其他,49.71,261.0
