系名,科系類型
國際企業管理全英語學士學位學程B組,企業管理
國際企業管理學士學位學程,企業管理
國際企業管理學士學位學程(英語專班),企業管理
國際學院國際經營管理學位學程,
國際文教與比較教育學系,
國際暨大陸事務學系,
國際溝通與科技創新學士學位學程,
國際經營管理全英語學士學位學程,外文
國際經營管理學位學程(英語專班),外文
國際經營與貿易學系,
國際經營與貿易學系(A組),
國際經營與貿易學系(B組),
國際經營與貿易學系(社會組),
國際經營與貿易學系(自然組),
國際經營與貿易學系國際企業管理全英語學士班,企業管理
國際觀光管理學系(蘭陽校園),
國際觀光管理學系全英語學士班,外文
國際觀光管理學系全英語學士班(全球跨域組),外文
國際觀光管理學系全英語學士班(海外實習組),外文
國際觀光管理學系全英語學士班(產業實習組),外文
國際觀光管理學系全英語學士班(蘭陽校園),外文
國際觀光管理學系全英語學士班(蘭陽校園)(海外實習組),外文
國際觀光管理學系全英語學士班(蘭陽校園)(產業實習組),外文
國際貿易學系,國際企業
國際農企業學士學位學程,
國際體育運動事務學士學位學程,
園藝學系,
園藝暨景觀學系,
圖文傳播學系,新聞傳播
圖文傳播藝術學系,新聞傳播
圖書資訊學系,
土地管理學系,
土地管理學系A組,
土地管理學系B組,
土壤環境科學系,
土木工程學系,土木工程
土木工程學系(科技暨基礎建設永續發展組),土木工程
土木工程學系工程設施組,土木工程
土木工程學系營建企業組,土木工程
土木與工程管理學系,土木工程
土木與水資源工程學系,土木工程
土木與水資源工程系土木組,土木工程
土木與水資源工程系水利組,土木工程
土木與環境工程學系,土木工程
土木與防災工程學系,土木工程
土耳其語文學系,
地政學系土地測量與資訊組,
地政學系土地管理組,
地政學系土地資源規劃組,
地景建築學系,建築
地球環境暨生物資源學系,
地球環境暨生物資源學系(公費)-臺北市,
地球環境暨生物資源學系(公費生),
地球環境暨生物資源學系(自費),
地球科學學系,
地球科學學院學士班,
地球科學系,
地球與環境科學系,
地理學系,地理
地理學系(公費生),地理
地理環境資源學系A組,地理
地理環境資源學系B組,地理
地質科學系,地質
城市發展學系,
外交學系,政治
外交與國際關係學系全英語學士班,政治
外國語文學系,外文
外國語言學系應用外語組,
外國語言學系英語教學組,外文
外國語言學系英語教學組(公費)-臺南市,外文
外國語言學系英語教學組(公費)-雲林縣,外文
外國語言學系英語教學組(公費生),外文
外國語言學系英語教學組(公費生)-嘉義縣,外文
外國語言學系英語教學組(自費),外文
多媒體動畫藝術學系,
多媒體動畫藝術學系(女),
多媒體動畫藝術學系(男),
大一不分系學士班,
大一全校不分系學士學位學程,
大數據商務應用學士學位學程,
大氣科學學系,大氣科學
大氣科學學系大氣組,大氣科學
大氣科學學系太空組,大氣科學
大氣科學系,大氣科學
大眾傳播學系,新聞傳播
太空科學與工程學系,
奈米科學及工程學士學位學程,
奈米科學及工程學士學位學程乙組(主修奈米),
奈米科學及工程學士學位學程甲組(主修半導體),
學士班大一大二不分系,
學習科學學士學位學程,
學習與媒材設計學系,
宗教學系,
客家語文暨社會科學學系,
客家語文暨社會科學學系客家社會及政策組,
客家語文暨社會科學學系客家語文及傳播組,
室內設計學士學位學程,
室內設計學系,
工商管理學系,企業管理
工商管理學系(工商創業組),企業管理
工商管理學系(工業管理組),企業管理
工商管理學系(數智商務組),企業管理
工商管理學系(社會組),企業管理
工商管理學系(自然組),企業管理
工商管理學系企業管理組,企業管理
工商管理學系企業管理組A組,企業管理
工商管理學系企業管理組B組,企業管理
工商管理學系企業管理組英文專班,企業管理
工商管理學系企管組英文專班,企業管理
工商管理學系科技管理組,企業管理
工學院學士班,
工業工程與工程管理學系,工業工程
工業工程與管理學系,工業工程
工業工程與管理學系(A組),工業工程
工業工程與管理學系(B組),工業工程
工業工程與管理學系(智慧製造組),工業工程
工業工程與管理學系(管理科學組),工業工程
工業工程與管理學系(電子化應用組),工業工程
工業工程與管理學系乙組,工業工程
工業工程與管理學系甲組,工業工程
工業工程與系統管理學系A組,工業工程
工業工程與系統管理學系B組,工業工程
工業工程與經營資訊學系(A組),工業工程
工業工程與經營資訊學系(B組),工業工程
工業工程與經營資訊學系(智慧經營與管理組),工業工程
工業工程與經營資訊學系(智慧設計與生產組),工業工程
工業工程與經營資訊系(A組),工業工程
工業工程與經營資訊系(B組),工業工程
工業教育學系,
工業教育學系能源應用組,
工業科技教育學系,
工業科技教育學系科技教育與訓練組,
工業科技教育學系科技教育與訓練組(公費)-臺南市,
工業科技教育學系科技教育與訓練組(自費),
工業科技教育學系能源與冷凍空調組,
工業與系統工程學系,工業工程
工業與系統工程學系工程組,工業工程
工業與系統工程學系管理組,工業工程
工業與資訊管理學系,資訊管理
工業設計學系,
工業設計學系(A組),
工業設計學系(B組),
工業設計學系(社會組),
工業設計學系(自然組),
工業設計學系媒體傳達設計組,
工業設計學系媒體與傳達設計組,
工業設計學系產品設計組,
工程學院英語學士學位學程,外文
工程學院英語學士班,外文
工程科學及海洋工程學系,
工程科學及海洋工程學系A組(船舶海洋應力計算領域),
工程科學及海洋工程學系B組(光機電資訊領域),
工程科學系,
工程與系統科學系乙組,
工程與系統科學系乙組(智慧奈米系統組),
工程與系統科學系甲組,
工程與系統科學系甲組(低碳綠能組),
工藝與創意設計學系,
工藝設計學系,
工藝設計學系(女),
工藝設計學系(男),
巨量資料管理學院學士學位學程,
巨量資料管理學院學士學位學程社會組,
巨量資料管理學院學士學位學程自然組,
幼兒教育學系,
幼兒教育學系(公費)-新竹市,
幼兒教育學系(公費)-桃園市,
幼兒教育學系(公費)-臺北市,
幼兒教育學系(公費)-花蓮縣,
幼兒教育學系(公費)-花蓮縣、限原住民,
幼兒教育學系(公費生),
幼兒教育學系(師培生),
幼兒教育學系(師資生),
幼兒教育學系(自費),
幼兒教育學系(非師培生),
幼兒教育學系(非師資生),
幼兒與家庭教育學系,
幼兒與家庭教育學系(公費)-新北市,
幼兒與家庭科學學系家庭生活與教育組,
幼兒與家庭科學學系幼兒發展與教育組,
廣告傳播學系,新聞傳播
廣告學系,新聞傳播
廣播電視學系,新聞傳播
建築學系,建築
建築學系(A組),建築
建築學系(B組),建築
建築專業學院學士班,
影像傳播學系,新聞傳播
微生物免疫與生物藥學系,藥學
微生物學系,生命科學
微生物學系應用微生物組,生命科學
微生物學系生物科技組,生命科學
德國文化學系,中文
德國文化學系A組,中文
德國文化學系B組,中文
德國語文學系,
德語語文學系,
心理學系,心理
心理學系(社會組),心理
心理學系(自然組),心理
心理與諮商學系,心理
應用化學系,化學
應用外國語文學系,外文
應用外國語言學系,
應用外國語言學系日文組,日文
應用外國語言學系英文組,外文
應用外語學系,
應用數學系,數學
應用數學系(A組),數學
應用數學系(B組),數學
應用數學系(公費)-臺東縣,數學
應用數學系A組,數學
應用數學系B組,數學
應用數學系應用數學組,數學
應用數學系數學科學組,數學
應用數學系數據科學與計算組,數學
應用數學系統計科學組,數學
應用數學系統計科學組(社會組),數學
應用數學系統計科學組(自然組),數學
應用數學系統計組,數學
應用數學系英語組,數學
應用數學與數據科學學系,數學
應用日語學系,日文
應用材料及光電工程學系,光電
應用歷史學系,歷史
應用物理學系,物理
應用物理學系(A組),物理
應用物理學系(B組),物理
應用物理學系光電組,物理
應用物理學系材料及奈米科技組,物理
應用物理暨化學系,物理
應用物理暨化學系應用化學組,化學
應用物理暨化學系電子物理組,物理
應用物理系,物理
應用物理系光電暨材料組,物理
應用物理系半導體組,物理
應用物理系物理組,物理
應用科學系化學及奈米科學組,
應用科學系奈米科學組,
應用科學系奈米科學組(公費生),
應用科學系應用物理組,物理
應用科學系材料科學組,材料
應用科學系物理暨光電科學組,光電
應用科學系生命科學組,生命科學
應用經濟學系,經濟
應用經濟與管理學系,經濟
應用經濟與管理學系應用經濟組,經濟
應用經濟與管理學系管理組,經濟
應用經濟與管理系應用經濟組,經濟
應用美術學系,
應用英語學系,外文
應用華語文學系,
應用電子科技學系,
應用音樂學系,
應用音樂學系(藝術管理組),
應用音樂學系(音樂工程創作組),
應用音樂學系(音樂工程與創作組),
應用音樂學系(音樂行政組),
應用音樂系(音樂工程創作組),
成人及繼續教育學系,
成功大學學士學位學程,
戲劇創作與應用學系(女),
戲劇創作與應用學系(男),
戲劇學系,
戲劇學系(女),
戲劇學系(男),
政治學系,政治
政治學系公共行政組,政治
政治學系國際關係組,政治
政治學系政治理論組,政治
政治法律學系,法律
政治經濟學系,經濟
教育學系,
教育學系(公費),
教育學系(公費)-新竹市,
教育學系(公費)-新竹縣,
教育學系(公費)-桃園市,
教育學系(公費)-臺東縣,
教育學系(公費)-雲林縣,
教育學系(公費)-高雄市,
教育學系(公費-特殊教育專長)-臺北市,
教育學系(公費-生活科技專長)-新竹縣,
教育學系(公費-輔導活動專長)-臺北市,
教育學系(公費生),
教育學系(公費生)-嘉義市,
教育學系(公費生)-嘉義縣,
教育學系(公費生)-雲林縣,
教育學系(公費英語)-雲林縣,外文
教育學系(公費體育)-雲林縣,
教育學系(自費),
教育學院學士班,
教育學院學士班教育心理與輔導組,
教育學院學士班教育科技與數位學習組,
教育學院學士班教育科技與資訊組,
教育心理與諮商學系,心理
教育心理與諮商學系乙組,心理
教育心理與諮商學系甲組,心理
教育心理與輔導學系,心理
教育政策與行政學系,
教育科技學系,
教育經營與管理學系,
教育與學習科技學系,
教育與學習科技學系(公費)-新竹市,
教育與學習科技學系(公費)-臺中市,
教育與學習科技學系(公費生),
教育與學習科技學系(公費生)-桃園縣,
教育與學習科技學系(公費生)-雲林縣,
教育與學習科技學系(公費英語)-桃園市,外文
教育與學習科技學系(自費),
教育與未來設計學系,
教育與潛能開發學系,
教育與潛能開發學系(自費),
教育行政與管理學系,
教育領導與科技發展學士學位學程,
數位內容科技學系,
數位媒體與文教產業學系,
數位學習科技學系,
數位學習科技學系(數位學習內容組),
數位學習科技學系(數位學習系統組),
數位學習科技學系(社會組),
數位學習科技學系(自然組),
數位學習設計與管理學系,
數位學習設計與管理學系(媒體互動設計組),
數位學習設計與管理學系(社會組),
數位學習設計與管理學系(自然組),
數位學習設計與管理學系(資訊科技與管理組),
數位科技設計學系,
數位科技設計學系(創意設計組),
數位科技設計學系(資訊應用組),
數位科技設計學系創意設計組,
數位科技設計學系資訊應用組,
數位金融科技學系,財務金融
數位金融科技學系(乙組),財務金融
數位金融科技學系(甲組),財務金融
數學學系數學組,數學
數學學系資料科學與數理統計組,統計
數學教育學系,數學
數學教育學系(公費)-臺南市,數學
數學教育學系(自費),數學
數學暨資訊教育學系人工智慧與資訊教育組,數學
數學暨資訊教育學系數學組,數學
數學暨資訊教育學系數學組(公費)-新竹市,數學
數學暨資訊教育學系數學組(女),數學
數學暨資訊教育學系數學組(男),數學
數學暨資訊教育學系資訊組(公費-北寮)-臺南市,數學
數學暨資訊教育學系資訊組(公費-層林)-臺南市,數學
數學暨資訊教育學系資訊組(公費-甲中)-臺南市,數學
數學暨資訊教育學系資訊組(女),數學
數學暨資訊教育學系資訊組(男),數學
數學暨資訊教育系數學組(女),數學
數學暨資訊教育系數學組(男),數學
數學暨資訊教育系資訊組(女),數學
數學暨資訊教育系資訊組(男),數學
數學系,數學
數學系(公費),數學
數學系(公費)-嘉義縣,數學
數學系(公費)-臺中市,數學
數學系(公費)-臺南市,數學
數學系(公費生),數學
數學系(公費生)-嘉義市,數學
數學系(公費生)-桃園縣,數學
數學系(公費生)-臺中市,數學
數學系(自費),數學
數學系乙組(應用數學組),數學
數學系應用數學組,數學
數學系數學科學組,數學
數學系數學組,數學
數學系數學組(公費),數學
數學系數學組(自費),數學
數學系甲組(數學組),數學
數學系純數學組,數學
數學系純粹數學組,數學
數學系計算與資料科學組,數學
數學系資料科學與數理統計組,統計
數學系資訊數學組,數學
數據科學與數學系,數學
文化創意產業學系,
文化創意產業經營學系,
文化創意產業設計與營運學系,
文化創意與數位行銷學系,
文化與自然資源學系,
文化觀光產業學系,
文化資源與休閒產業學系,
文學院學士班,
斯拉夫語文學系,
新聞傳播學系,新聞傳播
新聞學系,新聞傳播
族群關係與文化學系,化學
日本語文學系,日文
日本語言文化學系,化學
昆蟲學系,
景觀學系,
景觀學系(A組),
景觀學系(B組),
景觀學系(社會組),
景觀學系(自然A組),
景觀學系(自然B組),
景觀學系(自然組),
景觀與遊憩學士學位學程,
景觀設計學系(社會組),
景觀設計學系(自然組),
智慧創意工程學士學位學程,
智慧機器人學系,
智慧計算暨應用數學系,數學
智慧計算暨應用數學系(A組),數學
智慧計算暨應用數學系(B組),數學
智慧車輛工程學系,
書畫藝術學系,
會計學系,會計
會計學系(A組),會計
會計學系(B組),會計
會計學系(社會組),會計
會計學系(自然組),會計
會計學系A組,會計
會計學系B組,會計
會計與資訊科技學系,會計
會計與資訊科技學系乙組,會計
會計與資訊科技學系甲組,會計
木質材料與設計學系,材料
材料科學及工程學系,材料
材料科學工程學系,材料
材料科學工程學系乙組,材料
材料科學工程學系甲組,材料
材料科學系,材料
材料科學與工程學系,材料
材料科學與工程學系-伊利諾雙聯組,材料
材料科學與工程學系乙組,材料
材料科學與工程學系甲組,材料
材料與光電科學學系,光電
材料與光電科學學系丙組,光電
材料與光電科學學系乙組,光電
材料與光電科學學系全英語組,光電
材料與光電科學學系甲組,光電
材質創作與設計系,
東亞學系,
東亞學系政治與經濟組,經濟
東亞學系漢學與文化組,
東亞語文學系日語組,日文
東亞語文學系越語組,
東亞語文學系韓語組,
東南亞學系,
東南亞學系人類學組,
東南亞學系東南亞組,
東南亞語文學系印尼文組,
東南亞語文學系泰文組,
東南亞語文學系越文組,
東南亞語言與文化學士學位學程,
東南亞語言與文化學士學位學程印尼文組,
東南亞語言與文化學士學位學程泰文組,
東南亞語言與文化學士學位學程越文組,
森林學系木材科學組,
森林學系林學組,
森林學系林學組(公費生),
森林暨自然資源學系,
森林環境暨資源學系,
植物病理學系,
植物病理與微生物學系,生命科學
植物醫學系,醫學
機械工程國際學士學位學程,機械工程
機械工程學系,機械工程
機械工程學系(普渡雙聯組),機械工程
機械工程學系乙組,機械工程
機械工程學系先進材料與精密製造組,機械工程
機械工程學系光機電工程組,機械工程
機械工程學系光機電整合工程組,機械工程
機械工程學系前瞻半導體國際組,機械工程
機械工程學系智慧系統與永續能源組,機械工程
機械工程學系材料精密製造組,機械工程
機械工程學系機械工程組,機械工程
機械工程學系甲組,機械工程
機械工程學系設計與分析組,機械工程
機械機電工程系光機電整合組,機械工程
機械機電工程系精密機械組,機械工程
機械與機電工程學系,機械工程
機械與機電工程學系乙組,機械工程
機械與機電工程學系光機電整合組,機械工程
機械與機電工程學系全英語組,機械工程
機械與機電工程學系甲組,機械工程
機械與機電工程學系精密機械組,機械工程
機械與能源工程學系,機械工程
機械與電腦輔助工程學系,機械工程
機電工程學系,
機電科技學系,
歐洲語文學系俄文組,
歐洲語文學系德文組,
歐洲語文學系法文組,
歐洲語文學系西文組,
歐洲語文學系西班牙文組,
歷史學系,歷史
歷史與地理學系,歷史
民族事務與發展學系,
民族學系,
民族發展與社會工作學系,社會工作
民族發展與社會工作學系民族發展組,社會工作
民族發展與社會工作學系社會工作組,社會工作
