系名,科系類型
管理科學學系(企業經營與行銷流通組),
管理科學學系(大數據資料分析應用組),
管理科學學系(行銷與流通管理組),
管理科學系,
管理科學系(社會組),
管理科學系(自然組),
精密系統設計學士學位學程,
系統及船舶機電工程學系,
系統工程暨造船學系,
紫荊不分系學士學位學程乙組,
紫荊不分系學士學位學程甲組,
統計學系,統計
統計學系(A組),統計
統計學系(B組),統計
統計學系(大數據與決策管理組),統計
統計學系(大數據與資料科學組),統計
統計學系(巨量資料管理組),統計
統計學系(決策管理組),統計
統計學系(社會組),統計
統計學系(自然組),統計
統計學系商業大數據組,統計
統計學系大數據分析與市場決策組,統計
統計學系社會組,統計
統計學系自然組,統計
統計與資料科學學系,統計
統計資訊學系,統計
經濟學系,經濟
經濟學系(A組),經濟
經濟學系(B組),經濟
經濟學系(社會組),經濟
經濟學系(自然組),經濟
經濟學系A組,經濟
經濟學系B組,經濟
經濟學系一般經濟組,經濟
經濟學系產業經濟組,經濟
經濟學系第1組,經濟
經濟學系第2組,經濟
經營管理學系,
經營與管理學系,
綠能與資訊科技學系,
綠色能源科技學系,
綠色與資訊科技學士學位學程,
縱谷跨域書院學士學位學程,
織品服裝學系服飾設計組,
織品服裝學系織品服飾行銷組,
織品服裝學系織品設計組,
纖維與複合材料學系,材料
美術學系,
美術學系(公費生),
美術學系國畫組,
美術學系國畫組(公費)-桃園市,
美術學系水墨畫組,
美術學系繪畫組,
美術學系西畫組,
美術學系西畫組(公費)-桃園市,
美術產業學系,
義大利語文學系,
老人護理暨管理學系,護理
職業安全與衛生學系,
職業安全衛生學系,
職能治療學系,職能治療
能源工程國際學士學位學程,
能源工程學系,
臨床心理學系,心理
自動控制工程學系,
自動控制工程學系乙組,
自動控制工程學系甲組,
自然科學教育學系,
自然科學教育學系(公費)-臺中市,
自然科學教育學系(公費)-臺北市,
自然科學教育學系(女),
自然科學教育學系(男),
自然科學教育學系(自費)(女),
自然科學教育學系(自費)(男),
自然資源與環境學系,
自然資源與環境學系地球科學組,
自然資源與環境學系環境管理與環境教育組,
自然資源與環境學系生態與保育組,
臺灣文化學系,化學
臺灣語文學系,
臺灣語文與傳播學系,新聞傳播
航太與系統工程學系,
航空太空工程學系,
航運管理學系,
英國語文學系,外文
英文學系,外文
英文學系全英語學士班,外文
英美語文學系,外文
英美語文學系(公費)-花蓮縣,外文
英美語言文化學系(蘭陽校園),化學
英美語言文化學系全英語學士班(蘭陽校園),外文
英語學系,外文
英語學系(公費),外文
英語學系(公費)-內門國中,外文
英語學系(公費)-桃園市,外文
英語學系(公費)-潮寮國中,外文
英語學系(公費)-臺中市,外文
英語學系(公費)-臺南市,外文
英語學系(公費)-高雄市,外文
英語學系(公費生),外文
英語學系(公費生)-彰化縣,外文
英語學系(公費生)-臺中市,外文
英語學系(社會組),外文
英語學系(自然組),外文
英語學系(自費),外文
英語教學系,外文
英語教學系(公費)-新竹縣,外文
英語教學系(公費生),外文
英語教學系(自費),外文
華文文學系,
華文文學與創作學系,
華語文學系,
華語文教學系應用華語文學組,
藝術創意產業學系,
藝術史學系,
藝術史與文化資產學系,
藝術學院學士班,
藝術與設計學系,
藝術與設計學系創作組,
藝術與設計學系創作組(女),
藝術與設計學系創作組(男),
藝術與設計學系設計組,
藝術與造形設計學系藝術組,
藝術與造形設計學系藝術組(公費)-高雄市,
藝術與造形設計學系藝術組(公費生)-桃園縣,
藝術與造形設計學系藝術組(公費生)-雲林縣,
藝術與造形設計學系藝術組(女),
藝術與造形設計學系藝術組(男),
藝術與造形設計學系藝術組(自費),
藝術與造形設計學系藝術組(自費)(女),
藝術與造形設計學系藝術組(自費)(男),
藝術與造形設計學系藝術組(自費女),
藝術與造形設計學系藝術組(自費男),
藝術與造形設計學系設計組,
藝術與造形設計系藝術組(女),
藝術與造形設計系藝術組(男),
藥學系,藥學
藥學系臨床藥學組,藥學
藥學系藥學組,藥學
藥用化妝品學系,
行政管理學系,
行政管理暨政策學系,
行銷學系,
行銷與流通管理學系,
行銷與管理學系,
行銷與觀光管理學系,
行銷與運籌學系,
衛生福利學系,
表演藝術學士學位學程,
表演藝術學系,
西洋語文學系,
西班牙語文學系,
視光學系,
視覺傳達設計學系,
視覺藝術學系,
視覺藝術學系(公費)-臺中市,
視覺藝術學系(公費生),
視覺藝術學系(自費),
視覺藝術學系數位媒體設計組,
視覺藝術學系美術組,
視覺藝術學系造形藝術組,
視覺藝術與設計學系,
視覺設計學系,
觀光休閒與餐旅管理學系觀光休閒組,
觀光休閒與餐旅管理學系餐旅管理組,
觀光暨休閒遊憩學系,
觀光管理學系,
計量財務金融學系,財務金融
計量財務金融學系乙組,財務金融
計量財務金融學系甲組,財務金融
設計學系,
設計學系A組,
設計學系B組,
設計學系平面與媒體設計組,
設計學系產品與室內設計組,
設計學系產品設計組,
設計學系視覺設計組,
語文教育學系,
語文與創作學系文學創作組,
語文與創作學系語文師資組,
語文與創作學系語文師資組(公費)-新竹市,
語文與創作學系語文師資組(公費生),
語言治療與聽力學系聽力組,
語言治療與聽力學系語言治療組,
語言治療與聽力系語言治療組,
課程設計與潛能開發學系,
課程設計與潛能開發學系(公費生)-臺北市,
課程設計與潛能開發學系(公費生)-花蓮縣,
諮商心理與人力資源發展學系,心理
諮商心理與人力資源發展學系終身學習與人力資源發展組,心理
諮商心理與人力資源發展學系諮商心理組,心理
諮商與應用心理學系,心理
諮商與臨床心理學系,心理
諮商與臨床心理學系(社會組),心理
諮商與臨床心理學系(自然組),心理
諮商與輔導學系,
護理學系,護理
護理學系(A組),護理
護理學系(B組),護理
護理學系(女),護理
護理學系(男),護理
財務工程與精算學士學位學程,
財務工程與精算數學系,數學
財務工程與精算數學系社會組,數學
財務工程與精算數學系自然組,數學
財務管理學系,
財務管理學系(A組),
財務管理學系(B組),
財務管理學系(社會組),
財務管理學系(自然組),
財務金融學系,財務金融
財務金融學系A組,財務金融
財務金融學系B組,財務金融
財務金融學系全球財務管理全英語學士班,財務金融
財政學系,
財政學系(A組),
財政學系(B組),
財政學系(社會組),
財政學系(自然組),
財稅學系,
財經法律學系,法律
財經法律學系科技法組,法律
財經法律學系財貿法組,法律
資料科學系,
資源工程學系,
資訊傳播學系,新聞傳播
資訊傳播學系(數位媒體設計-創作組),新聞傳播
資訊傳播學系(數位媒體設計-美術組),新聞傳播
資訊傳播學系(智慧科技應用組),新聞傳播
資訊傳播學系科技組,新聞傳播
資訊傳播學系科技組(互動媒體與遊戲設計),新聞傳播
資訊傳播學系科技組(智慧科技應用),新聞傳播
資訊傳播學系科技組(第一類組),新聞傳播
資訊傳播學系科技組(第二類組),新聞傳播
資訊傳播學系設計組,新聞傳播
資訊傳播學系設計組(創作組),新聞傳播
資訊傳播學系設計組(美術組),新聞傳播
資訊創新與科技學系應用資訊全英語組(蘭陽校園),外文
資訊創新與科技學系應用資訊組(蘭陽校園),
資訊創新與科技學系軟體工程全英語組(蘭陽校園),外文
資訊創新與科技學系軟體工程組(蘭陽校園),
資訊創新與科技學系通訊科技組(蘭陽校園),
資訊創新與科技系軟體工程組,
資訊創新與科技系通訊科技組,
資訊學院英語學士學位學程,外文
資訊學院英語學士班,外文
資訊工程學系,資訊工程
資訊工程學系(A組),資訊工程
資訊工程學系(B組),資訊工程
資訊工程學系(人工智慧組),資訊工程
資訊工程學系(公費)-臺南市,資訊工程
資訊工程學系(普渡雙聯組),資訊工程
資訊工程學系(自費),資訊工程
資訊工程學系(資訊工程組),資訊工程
資訊工程學系(資訊應用組),資訊工程
資訊工程學系(資訊電子組),資訊工程
資訊工程學系(資電工程組),資訊工程
資訊工程學系(軟體工程組),資訊工程
資訊工程學系丙組(人工智慧組),資訊工程
資訊工程學系乙組,資訊工程
資訊工程學系乙組(資訊工程組),資訊工程
資訊工程學系全英語學士班,資訊工程
資訊工程學系國際組,資訊工程
資訊工程學系數位創意組,資訊工程
資訊工程學系甲組,資訊工程
資訊工程學系甲組(電子資訊組),資訊工程
資訊工程學系網路多媒體組,資訊工程
資訊工程學系網路與多媒體工程組,資訊工程
資訊工程學系資工組,資訊工程
資訊工程學系資訊工程組,資訊工程
資訊工程學系資電工程組,資訊工程
資訊工程學系軟體工程組,資訊工程
資訊工程系乙組(資訊工程組),資訊工程
資訊工程系甲組(電子資訊組),資訊工程
資訊科學系,資訊工程
資訊科學系(人工智慧組),資訊工程
資訊科學與工程學系,資訊工程
資訊管理學系,資訊管理
資訊管理學系(A組),資訊管理
資訊管理學系(B組),資訊管理
資訊管理學系(C組),資訊管理
資訊管理學系(數位行銷與電子商務應用組),資訊管理
資訊管理學系(數位金融科技組),資訊管理
資訊管理學系(數據分析與創新組),資訊管理
資訊管理學系(物聯網與大數據應用組),資訊管理
資訊管理學系(社會組),資訊管理
資訊管理學系(自然組),資訊管理
資訊管理學系數位內容科技與管理組,資訊管理
資訊管理學系數位科技管理組,資訊管理
資訊管理學系社會組,資訊管理
資訊管理學系自然組,資訊管理
資訊管理學系資訊管理組,資訊管理
資訊管理與財務金融學系財務金融組,資訊管理
資訊管理與財務金融學系財務金融組(社會組),資訊管理
資訊管理與財務金融學系財務金融組(自然組),資訊管理
資訊管理與財務金融學系資訊管理組,資訊管理
資訊與圖書館學系,
資訊與財金管理學系乙組,財務金融
資訊與財金管理學系甲組,財務金融
資訊電機學院不分系榮譽班,
資訊電機學院不分系榮譽班乙組,
資訊電機學院不分系榮譽班甲組,
資訊電機學院學士班,
資訊電機學院學士班乙組,
資訊電機學院學士班甲組,
跨領域全英語學士學位學程,外文
身心整合與運動休閒產業學系,
車輛與能源工程學士學位學程,
軟體工程學系,
軟體工程與管理學系,
輔導與諮商學系,
輔導與諮商學系(公費)-高雄市,
輔導與諮商學系(自費),
輔導與諮商學系學校輔導與諮商組,
輔導與諮商學系學校輔導與諮商組(公費生),
輔導與諮商學系學校輔導與諮商組(公費生)-彰化縣,
輔導與諮商學系學校輔導與諮商組(公費生)-雲林縣,
輔導與諮商學系社區輔導與諮商組,
輔導諮商系校輔與學生事務組,
輔導諮商系社區諮商與社工組,
輪機工程學系,
輪機工程學系動力工程組,
輪機工程學系能源應用組,
農業化學系,農業化學
農業生物科技學系,
農業經濟學系,農業經濟
農業經濟學系A組,農業經濟
農業經濟學系B組,農業經濟
農藝學系,
通訊工程學系,
通訊工程學系(系統晶片設計組),
通訊工程學系(行動通訊組),
通訊工程學系(資訊通訊組),
通訊工程學系(通訊工程組),
通訊工程學系(電子資通組),
通訊工程學系(電子電路組),
通訊工程學系(電機通訊組),
通訊工程學系乙組,
通訊工程學系甲組,
通訊與導航工程學系,
運動事業管理學系,
運動保健學系A,
運動保健學系B,
運動健康科學學系,
運動健康科學系,
運動健康與休閒學系,
運動學系,
運動科學系,
運動競技學系,
運動管理學系(嘉義校區),
運動與休閒學系,
運動資訊與傳播學系,新聞傳播
運動資訊與傳播學系(傳播組),新聞傳播
運動資訊與傳播學系(傳播組)(嘉義校區),新聞傳播
運動資訊與傳播學系(嘉義),新聞傳播
運動資訊與傳播學系(資訊組),新聞傳播
運動資訊與傳播學系(資訊組)(嘉義校區),新聞傳播
運動醫學系,
運輸科學系,
運輸科學系A組,
運輸科學系B組,
運輸科技與管理學系,
運輸管理學系,
運輸與物流學系,
運輸與物流管理學系,
適應體育學系,
適應體育學系A,
適應體育學系B,
都市計劃學系,
都市計劃學系(社會組),
都市計劃學系(自然組),
都市計畫與景觀學系,
都市計畫與空間資訊學系,
都市計畫與空間資訊學系乙組,
都市計畫與空間資訊學系甲組,
都市計畫與空間資訊學系空間資訊組,
都市計畫與空間資訊學系都市計畫組,
都會產業經營與行銷學系,
都計與空間資訊系空間資訊組,
都計與空間資訊系都市計畫組,
醫務管理學系,
醫務管理學系(社會組),
醫務管理學系(自然組),
醫務管理暨醫療資訊學系,
醫學工程學系,生醫工程
醫學影像暨放射科學系,
醫學應用化學系,化學
醫學檢驗暨生物技術學系,醫檢
醫學檢驗生物技術學系,醫檢
醫學生物技術暨檢驗學系,
醫學社會學與社會工作學系,社會工作
醫學社會工作系(社會工作組),社會工作
醫學社會工作系(醫學社會組),社會工作
醫學社會暨社會工作學系,社會工作
醫學科學系,
醫學系,醫學
醫學系(公費),醫學
醫學系(自費),醫學
醫學資訊學系,
醫學資訊與創新應用學士學位學程,
醫檢暨生物技術系生物技術組,
醫檢暨生物技術系醫事檢驗組,
醫療產業科技管理學系,
醫療資訊學系,
醫藥暨應用化學系應用化學組,化學
醫藥暨應用化學系醫藥化學組,化學
金融學系,財務金融
金融學系(A組),財務金融
金融學系(B組),財務金融
金融學系(社會組),財務金融
金融學系(自然組),財務金融
金融學系社會組,財務金融
金融學系自然組,財務金融
金融學院學士班,
金融管理學系,財務金融
金融與合作經營學系,財務金融
金融與國際企業學系,財務金融
長期照護學系,
阿拉伯語文學系,
雕塑學系,
雕塑學系(女),
雕塑學系(男),
電子工程學系,電子工程
電子工程學系(乙組),電子工程
電子工程學系(乙組)(女),電子工程
電子工程學系(乙組)(男),電子工程
電子工程學系(甲組),電子工程
電子工程學系(甲組)(女),電子工程
電子工程學系(甲組)(男),電子工程
電子工程學系乙組,電子工程
電子工程學系甲組,電子工程
電子物理學系,物理
電子物理學系光電奈米組,光電
電子物理學系光電與奈米科學組,光電
電子物理學系電子物理組,物理
電影學系,
電機工程學系,電機工程
電機工程學系(A組),電機工程
電機工程學系(B組),電機工程
電機工程學系(丙組),電機工程
電機工程學系(乙組),電機工程
電機工程學系(乙組)(A組),電機工程
電機工程學系(乙組)(B組),電機工程
電機工程學系(普渡雙聯組),電機工程
電機工程學系(甲組),電機工程
電機工程學系(電機與系統組),電機工程
電機工程學系(電機資訊組),電機工程
電機工程學系(電機通訊組),電機工程
電機工程學系IC設計與無線通訊組,電機工程
電機工程學系丙組,電機工程
電機工程學系丙組(醫學電資組),電機工程
電機工程學系乙組,電機工程
電機工程學系乙組(電機工程組),電機工程
電機工程學系全英語組,電機工程
電機工程學系半導體工程組,電機工程
電機工程學系半導體組,電機工程
電機工程學系奈米電子與能源技術組,電機工程
電機工程學系智慧系統組,電機工程
電機工程學系甲組,電機工程
電機工程學系甲組(電資國際組),電機工程
電機工程學系系統晶片設計組,電機工程
電機工程學系系統與晶片設計組,電機工程
電機工程學系英語組,電機工程
電機工程學系通訊組,電機工程
電機工程學系電子資訊組,電機工程
電機工程學系電子通訊組,電機工程
電機工程學系電機與系統組,電機工程
電機工程學系電機資訊組,電機工程
電機工程學系電機通訊組,電機工程
電機工程學系電腦與通訊工程組,
電機工程系系統與晶片設計組,電機工程
電機工程系電腦與通訊工程組,
電機資訊學士班,電機工程
電機資訊學院學士班,
電機資訊學院學士班乙組,
電機資訊學院學士班甲組,
電機資訊學院智慧運算與大數據學士班,電機工程
電機通訊學院英語學士學位學程,電機工程
電機通訊學院英語學士班,電機工程
電腦科學與人工智慧學系,
電腦與智慧型機器人學位學程,
電腦與智慧型機器人學士學位學程,
電腦與通訊學系,
電資學院學士班,
韓國語文學系,
音樂學系,
音樂學系(公費),
音樂學系(公費)-桃園市,
音樂學系(公費)-臺中市,
音樂學系(公費)-臺南市,
音樂學系(公費)-花蓮縣,
音樂學系(公費)-雲林縣,
音樂學系(公費)-高雄市,
音樂學系(公費-臺南市),
音樂學系(公費-高雄市),
音樂學系(公費生),
音樂學系(自費),
音樂學系(自費)-綜合樂器,
音樂學系(自費)-鋼琴,
音樂學系-上低音號,
音樂學系-中國傳統樂器,
音樂學系-中提琴,
音樂學系-低音提琴,
音樂學系-低音號,
音樂學系-單簧管,
音樂學系-大提琴,
音樂學系-小提琴,
音樂學系-小號,
音樂學系-弦樂,
音樂學系-弦樂.銅管.木管.擊樂,
音樂學系-弦樂、理論作曲,
音樂學系-弦樂、銅管樂、木管樂,
音樂學系-擊樂,
音樂學系-擊樂、理論作曲,
音樂學系-木管樂,
音樂學系-木管樂(自費),
音樂學系-法國號,
音樂學系-理論作曲,
音樂學系-絃樂,
音樂學系-絃樂(自費),
音樂學系-絃樂、銅管、木管,
音樂學系-絃樂、銅管樂、木管樂,
音樂學系-絃樂、銅管樂、木管樂、擊樂,
音樂學系-綜合樂器,
音樂學系-聲樂,
音樂學系-聲樂(自費),
音樂學系-聲樂.弦樂.理論作曲,
音樂學系-聲樂、弦樂,
音樂學系-聲樂、弦樂、理論作曲,
音樂學系-薩克斯管,
音樂學系-銅管、木管,
音樂學系-銅管、木管、擊樂,
音樂學系-銅管樂,
音樂學系-銅管樂(自費),
音樂學系-銅管樂.木管樂,
音樂學系-銅管樂.木管樂.擊樂,
音樂學系-銅管樂、木管樂,
音樂學系-銅管樂、木管樂、擊樂,
音樂學系-鋼琴,
音樂學系-鋼琴(自費),
音樂學系-鋼琴.聲樂.弦樂.擊樂.理論作曲,
音樂學系-鋼琴.聲樂.弦樂.理論作曲,
音樂學系-鋼琴、聲樂,
音樂學系-長笛,
音樂學系-長號,
音樂學系-雙簧管,
音樂學系A組,
音樂學系B組,
音樂系-中國傳統樂器(自費),
風險管理與保險學系,
風險管理與保險學系(A組),
風險管理與保險學系(B組),
風險管理與保險學系(社會組),
風險管理與保險學系(自然組),
食品安全學系,
食品暨應用生物科技學系,
食品科學系,
食品科學系(A組),
食品科學系(B組),
食品科學系生物科技組,
食品科學系食品科學組,
餐旅管理學系,
香粧品學系,
體育學系,
體育學系(公費生),
體育學系(女),
體育學系(男),
體育學系(自費女),
體育學系(自費男),
體育學系運動健康管理組,
體育學系體育學組,
體育推廣學系A,
體育推廣學系B,
體育與健康休閒學系,
體育與健康休閒學系(公費)-高雄市,
體育與健康休閒學系(自費),
體育與健康學系,
體育與運動科學系,
高齡健康暨長期照護學系,
高齡健康管理學系,
高齡健康與運動科學學士學位學程,
