學年度,學校,系名,科系類型,錄取平均,原始總分
103,台大,圖書資訊學系,,83.69,544.0
103,台大,日本語文學系,日文,82.74,496.45
103,台大,戲劇學系(男),,81.27,487.6
103,台大,戲劇學系(女),,81.83,490.95
103,台大,數學系,數學,78.64,432.5
103,台大,物理學系,物理,82.52,412.6
103,台大,化學系,化學,80.82,404.1
103,台大,地質科學系,地質,77.04,385.2
103,台大,心理學系,心理,78.28,469.7
103,台大,地理環境資源學系A組,地理,76.62,383.1
103,台大,地理環境資源學系B組,地理,83.88,419.4
103,台大,大氣科學系,大氣科學,77.92,389.6
103,台大,政治學系政治理論組,政治,83.19,457.55
103,台大,政治學系國際關係組,政治,84.63,465.45
103,台大,政治學系公共行政組,政治,83.76,460.7
103,台大,經濟學系,經濟,88.45,442.25
103,台大,社會學系,社會學,83.35,541.75
103,台大,社會工作學系,社會工作,83.08,540.0
103,台大,醫學系,醫學,88.27,529.6
103,台大,牙醫學系,牙醫,86.72,520.3
103,台大,藥學系,藥學,82.4,494.4
103,台大,醫學檢驗暨生物技術學系,醫檢,80.28,481.7
103,台大,護理學系,護理,75.65,453.9
103,台大,物理治療學系,物理治療,79.87,479.2
103,台大,職能治療學系,職能治療,79.02,474.1
103,台大,土木工程學系,土木工程,79.42,397.1
103,台大,機械工程學系,機械工程,81.26,406.3
103,台大,化學工程學系,化學工程,81.16,405.8
103,台大,工程科學及海洋工程學系,,80.4,402.0
103,台大,材料科學與工程學系,材料,83.08,415.4
103,台大,農藝學系,,77.18,501.7
103,台大,生物環境系統工程學系,,78.1,390.5
103,台大,農業化學系,農業化學,78.03,468.2
103,台大,森林環境暨資源學系,,76.49,611.95
103,台大,動物科學技術學系,,76.05,456.3
103,台大,農業經濟學系,農業經濟,75.38,640.7
103,台大,園藝暨景觀學系,,76.46,535.2
103,台大,獸醫學系,獸醫,81.83,491.0
103,台大,生物產業傳播暨發展學系,,84.11,546.7
103,台大,生物產業機電工程學系,,78.9,394.5
103,台大,昆蟲學系,,74.42,446.5
103,台大,植物病理與微生物學系,生命科學,77.27,463.6
103,台大,工商管理學系企業管理組,企業管理,88.23,617.6
103,台大,工商管理學系科技管理組,企業管理,79.84,558.9
103,台大,會計學系,會計,86.29,560.88
103,台大,財務金融學系,財務金融,91.56,412.0
103,台大,國際企業學系,國際企業,89.31,625.2
103,台大,資訊管理學系,資訊管理,80.5,402.5
103,台大,公共衛生學系,公共衛生,78.1,468.6
103,台大,電機工程學系,電機工程,84.02,420.1
103,台大,資訊工程學系,資訊工程,82.44,412.2
103,台大,法律學系法學組,法律,87.28,436.4
103,台大,法律學系司法組,法律,87.92,439.6
103,台大,法律學系財經法學組,法律,88.86,444.3
103,台大,生命科學系,生命科學,78.5,471.0
103,台大,生化科技學系,,81.48,488.9
104,台大,中國文學系,中文,77.41,464.48
104,台大,外國語文學系,外文,80.03,500.2
104,台大,歷史學系,歷史,82.48,412.4
104,台大,哲學系,哲學,77.6,388.0
104,台大,人類學系,,81.61,428.45
104,台大,圖書資訊學系,,78.57,432.13
104,台大,日本語文學系,日文,77.68,466.1
104,台大,戲劇學系(男),,76.33,458.0
104,台大,戲劇學系(女),,77.3,463.8
104,台大,數學系,數學,77.84,428.1
104,台大,物理學系,物理,79.9,399.5
104,台大,化學系,化學,78.28,391.4
104,台大,地質科學系,地質,74.64,373.2
104,台大,心理學系,心理,75.14,375.7
104,台大,地理環境資源學系A組,地理,74.08,370.4
104,台大,地理環境資源學系B組,地理,79.26,396.3
104,台大,大氣科學系,大氣科學,75.54,377.7
104,台大,政治學系政治理論組,政治,78.43,431.38
104,台大,政治學系國際關係組,政治,80.11,440.6
104,台大,政治學系公共行政組,政治,78.79,433.35
104,台大,經濟學系,經濟,80.37,401.85
104,台大,社會學系,社會學,77.7,505.05
104,台大,社會工作學系,社會工作,77.68,427.25
104,台大,醫學系,醫學,90.14,450.7
104,台大,牙醫學系,牙醫,85.22,426.1
104,台大,藥學系,藥學,83.72,418.6
104,台大,醫學檢驗暨生物技術學系,醫檢,76.24,381.2
