學年度,學校,系名,科系類型,錄取平均,原始總分
114,中原,心理學系,心理,37.0,203.5
114,中原,生物科技學系,,34.0,170.0
114,中原,化學工程學系綠能製程組,化學工程,37.6,188.0
114,中原,化學工程學系生化工程組,化學工程,38.8,194.0
114,中原,化學工程學系材料工程組,化學工程,39.6,198.0
114,中原,土木工程學系,土木工程,35.27,194.0
114,中原,機械工程學系,機械工程,38.75,155.0
114,中原,生物醫學工程學系,生醫工程,36.6,183.0
114,中原,環境工程學系,,38.8,194.0
114,中原,電機資訊學院學士班,,44.2,221.0
114,中原,工業與系統工程學系工程組,工業工程,37.0,111.0
114,中原,工業與系統工程學系管理組,工業工程,40.2,201.0
114,中原,電子工程學系,電子工程,40.5,162.0
114,中原,資訊工程學系,資訊工程,44.4,222.0
114,中原,電機工程學系,電機工程,41.75,167.0
114,中原,電機資訊學院智慧運算與大數據學士班,電機工程,41.0,123.0
114,中原,企業管理學系服務業管理組,企業管理,37.6,188.0
114,中原,企業管理學系高科技業管理組,企業管理,40.2,201.0
114,中原,企業管理學系工商管理組,企業管理,37.6,188.0
114,中原,國際經營與貿易學系,,33.0,189.75
114,中原,會計學系,會計,38.38,201.5
114,中原,資訊管理學系,資訊管理,40.5,162.0
114,中原,財務金融學系,財務金融,35.52,239.75
114,中原,財經法律學系財貿法組,法律,41.0,225.5
114,中原,財經法律學系科技法組,法律,40.64,223.5
114,中原,建築學系,建築,37.74,217.0
114,中原,室內設計學系,,39.38,256.0
114,中原,商業設計學系商業設計組,,34.0,221.0
114,中原,商業設計學系產品設計組甲類,,43.67,196.5
114,中原,商業設計學系產品設計組乙類,,41.33,186.0
114,中原,地景建築學系,建築,43.6,218.0
114,中原,特殊教育學系,,29.88,119.5
114,中原,應用外國語文學系,外文,30.78,138.5
114,中原,應用華語文學系,,29.65,148.25
115,中原,應用數學系,數學,34.24,145.5
115,中原,物理學系物理組,物理,37.67,169.5
115,中原,物理學系光電與材料科學組,光電,38.67,174.0
115,中原,化學系化學組,化學,37.0,185.0
115,中原,化學系材料化學組,材料,38.4,192.0
115,中原,心理學系,心理,34.82,191.5
115,中原,生物科技學系,,32.4,162.0
115,中原,化學工程學系綠能製程組,化學工程,37.6,188.0
115,中原,化學工程學系生化工程組,化學工程,38.6,193.0
115,中原,化學工程學系材料工程組,化學工程,40.0,200.0
115,中原,土木工程學系,土木工程,36.91,203.0
115,中原,機械工程學系,機械工程,38.0,152.0
115,中原,生物醫學工程學系,生醫工程,35.6,178.0
115,中原,環境工程學系,,40.8,204.0
115,中原,電機資訊學院學士班,,44.4,222.0
115,中原,工業與系統工程學系工程組,工業工程,40.0,240.0
115,中原,工業與系統工程學系管理組,工業工程,41.0,205.0
115,中原,電子工程學系,電子工程,40.25,161.0
115,中原,資訊工程學系,資訊工程,42.4,212.0
115,中原,電機工程學系,電機工程,41.75,167.0
115,中原,電機資訊學院智慧運算與大數據學士班,電機工程,39.33,118.0
115,中原,企業管理學系服務業管理組,企業管理,39.2,196.0
115,中原,企業管理學系高科技業管理組,企業管理,40.8,204.0
115,中原,企業管理學系工商管理組,企業管理,38.0,190.0
115,中原,國際經營與貿易學系,,35.68,169.5
115,中原,會計學系,會計,37.19,195.25
115,中原,資訊管理學系,資訊管理,38.88,155.5
115,中原,財務金融學系,財務金融,33.89,228.75
115,中原,財經法律學系財貿法組,法律,42.64,234.5
115,中原,財經法律學系科技法組,法律,42.45,233.5
115,中原,建築學系,建築,40.33,242.0
115,中原,室內設計學系,,43.77,284.5
115,中原,商業設計學系商業設計組,,37.08,241.0
115,中原,商業設計學系產品設計組甲類,,45.02,202.6
115,中原,商業設計學系產品設計組乙類,,36.11,162.5
115,中原,地景建築學系,建築,45.0,225.0
115,中原,特殊教育學系,,30.75,123.0
115,中原,應用外國語文學系,外文,35.33,159.0
115,中原,應用華語文學系,,32.2,161.0
115,中原,半導體產業學士學位學程,,38.75,155.0
101,東海,中國文學系,中文,57.41,301.4
101,東海,外國語文學系,外文,64.51,387.05
101,東海,歷史學系,歷史,57.01,327.78
101,東海,日本語言文化學系,化學,60.73,364.4
101,東海,哲學系,哲學,58.92,427.15
101,東海,物理學系物理組,物理,47.4,331.8
101,東海,物理學系應用物理組,物理,48.03,336.2
101,東海,化學系化學組,化學,49.94,349.55
101,東海,化學系化學生物組(A組),化學,50.81,355.7
101,東海,化學系化學生物組(B組),化學,54.78,383.45
101,東海,生命科學系生物醫學組,生命科學,62.6,438.2
101,東海,生命科學系生態生物多樣性組,生命科學,61.99,340.95
101,東海,應用數學系(A組),數學,49.86,274.25
101,東海,應用數學系(B組),數學,60.41,332.25
101,東海,化學工程與材料工程學系,化學工程,50.01,350.1
101,東海,工業工程與經營資訊系(A組),工業工程,50.26,351.8
101,東海,工業工程與經營資訊系(B組),工業工程,61.23,352.1
101,東海,環境科學與工程系(自然A組),,51.94,337.6
101,東海,環境科學與工程系(自然B組),,54.98,357.35
101,東海,資訊工程學系資電工程組,資訊工程,56.32,281.6
101,東海,資訊工程學系數位創意組,資訊工程,65.87,362.3
101,東海,資訊工程學系軟體工程組,資訊工程,56.81,312.45
101,東海,電機工程學系(A組),電機工程,58.1,406.7
101,東海,電機工程學系(B組),電機工程,56.69,396.8
101,東海,企業管理學系,企業管理,60.5,484.0
101,東海,國際經營與貿易學系,,64.59,371.4
101,東海,會計學系,會計,65.18,505.15
101,東海,財務金融學系,財務金融,67.61,388.75
101,東海,統計學系(自然組),統計,50.55,202.2
101,東海,統計學系(社會組),統計,66.22,264.9
101,東海,資訊管理學系,資訊管理,63.72,366.38
101,東海,經濟學系一般經濟組,經濟,60.39,452.9
101,東海,經濟學系產業經濟組,經濟,60.14,451.05
101,東海,政治學系政治理論組,政治,63.62,365.8
101,東海,政治學系國際關係組,政治,65.76,378.1
101,東海,行政管理暨政策學系,,66.15,363.8
101,東海,社會學系,社會學,62.41,374.45
101,東海,社會工作學系,社會工作,65.55,376.9
101,東海,畜產與生物科技學系(A組),,63.3,253.2
101,東海,畜產與生物科技學系(B組),,55.08,220.3
101,東海,畜產與生物科技學系(C組),,65.8,263.2
101,東海,食品科學系(A組),,56.56,452.5
101,東海,食品科學系(B組),,58.76,470.1
101,東海,餐旅管理學系,,62.41,468.1
101,東海,美術學系,,56.47,395.3
101,東海,音樂學系-鋼琴,,69.11,276.42
101,東海,音樂學系-聲樂,,64.41,257.62
101,東海,音樂學系-絃樂、銅管、木管,,54.45,217.8
101,東海,建築學系,建築,73.01,492.8
101,東海,工業設計學系,,64.97,438.53
101,東海,景觀學系(社會組),,65.46,327.3
101,東海,景觀學系(自然A組),,62.34,311.7
101,東海,景觀學系(自然B組),,61.69,339.3
101,東海,法律學系,法律,69.01,414.05
102,東海,中國文學系,中文,61.37,322.18
102,東海,外國語文學系,外文,67.44,404.65
102,東海,歷史學系,歷史,60.49,347.8
102,東海,日本語言文化學系,化學,61.29,367.75
102,東海,哲學系,哲學,57.57,417.35
102,東海,應用物理學系材料及奈米科技組,物理,41.12,267.25
102,東海,應用物理學系光電組,物理,39.3,255.48
102,東海,化學系化學組,化學,41.8,292.6
102,東海,化學系化學生物組(A組),化學,45.32,317.25
102,東海,化學系化學生物組(B組),化學,53.55,374.85
102,東海,生命科學系生物醫學組,生命科學,64.14,432.93
102,東海,生命科學系生態暨生物多樣性組,生命科學,66.62,383.05
102,東海,應用數學系(A組),數學,49.43,271.85
102,東海,應用數學系(B組),數學,58.13,319.7
102,東海,化學工程與材料工程學系,化學工程,41.47,290.3
102,東海,工業工程與經營資訊學系(A組),工業工程,47.36,331.5
102,東海,工業工程與經營資訊學系(B組),工業工程,58.6,336.95
102,東海,環境科學與工程學系(自然A組),,46.76,303.95
102,東海,環境科學與工程學系(自然B組),,57.55,374.1
102,東海,資訊工程學系資電工程組,資訊工程,47.83,287.0
102,東海,資訊工程學系數位創意組,資訊工程,62.47,343.6
102,東海,資訊工程學系軟體工程組,資訊工程,52.66,289.65
102,東海,電機工程學系IC設計與無線通訊組,電機工程,51.46,360.2
102,東海,電機工程學系奈米電子與能源技術組,電機工程,49.03,343.2
102,東海,企業管理學系(甲組),企業管理,48.26,277.5
102,東海,企業管理學系(乙組),企業管理,59.02,339.35
102,東海,國際經營與貿易學系,,61.91,356.0
102,東海,會計學系,會計,64.97,503.5
102,東海,財務金融學系,財務金融,65.82,378.48
102,東海,統計學系(自然組),統計,47.0,188.0
102,東海,統計學系(社會組),統計,61.58,246.3
102,東海,資訊管理學系,資訊管理,59.73,343.43
102,東海,經濟學系一般經濟組,經濟,59.3,444.75
102,東海,經濟學系產業經濟組,經濟,58.75,440.6
102,東海,政治學系政治理論組,政治,62.68,360.4
102,東海,政治學系國際關係組,政治,65.5,376.6
102,東海,行政管理暨政策學系,,63.67,350.2
102,東海,社會學系,社會學,59.33,355.95
102,東海,社會工作學系,社會工作,62.73,360.7
102,東海,畜產與生物科技學系(A組),,67.45,269.8
102,東海,畜產與生物科技學系(B組),,52.58,210.3
102,東海,畜產與生物科技學系(C組),,63.68,254.7
102,東海,食品科學系(A組),,56.6,452.8
102,東海,食品科學系(B組),,58.51,468.1
102,東海,餐旅管理學系,,63.4,475.5
102,東海,美術學系,,60.5,423.5
102,東海,音樂學系-鋼琴,,63.23,252.9
102,東海,音樂學系-絃樂、銅管樂、木管樂、擊樂,,58.48,233.9
102,東海,建築學系,建築,71.07,479.73
102,東海,工業設計學系,,60.29,406.95
102,東海,景觀學系(社會組),,65.36,326.8
102,東海,景觀學系(自然A組),,63.16,315.8
102,東海,景觀學系(自然B組),,65.27,359.0
102,東海,法律學系,法律,69.68,418.1
103,東海,中國文學系,中文,59.19,310.75
103,東海,外國語文學系,外文,69.52,417.15
103,東海,歷史學系,歷史,60.09,345.53
103,東海,日本語言文化學系,化學,60.33,362.0
103,東海,哲學系,哲學,57.01,413.35
103,東海,應用物理學系材料及奈米科技組,物理,38.12,247.75
103,東海,應用物理學系光電組,物理,38.99,253.45
103,東海,化學系化學組,化學,41.56,290.95
103,東海,化學系化學生物組(A組),化學,45.68,319.75
103,東海,化學系化學生物組(B組),化學,51.25,358.75
103,東海,生命科學系生物醫學組,生命科學,60.27,406.85
103,東海,生命科學系生態暨生物多樣性組,生命科學,56.18,323.03
103,東海,應用數學系(A組),數學,43.25,237.85
103,東海,應用數學系(B組),數學,55.77,306.75
103,東海,化學工程與材料工程學系,化學工程,40.6,284.2
103,東海,工業工程與經營資訊學系(A組),工業工程,44.86,314.0
103,東海,工業工程與經營資訊學系(B組),工業工程,56.7,326.0
103,東海,環境科學與工程學系(自然A組),,44.85,291.5
103,東海,環境科學與工程學系(自然B組),,47.55,309.1
103,東海,資訊工程學系資電工程組,資訊工程,50.43,277.35
103,東海,資訊工程學系數位創意組,資訊工程,61.16,336.4
103,東海,資訊工程學系軟體工程組,資訊工程,51.26,281.95
103,東海,電機工程學系IC設計與無線通訊組,電機工程,47.62,309.5
103,東海,電機工程學系奈米電子與能源技術組,電機工程,47.15,306.5
103,東海,企業管理學系(行銷與數位經營組),企業管理,59.56,327.6
103,東海,企業管理學系(綠色與永續發展組),企業管理,57.96,318.8
103,東海,企業管理學系(創業與組織領導組),企業管理,59.76,463.15
103,東海,國際經營與貿易學系,,61.59,354.13
103,東海,會計學系,會計,66.22,513.23
103,東海,財務金融學系,財務金融,65.92,379.03
103,東海,統計學系(自然組),統計,45.08,180.3
103,東海,統計學系(社會組),統計,60.65,242.6
103,東海,資訊管理學系,資訊管理,58.75,337.83
103,東海,經濟學系一般經濟組,經濟,58.99,442.45
103,東海,經濟學系產業經濟組,經濟,57.93,434.45
103,東海,政治學系政治理論組,政治,61.95,356.2
103,東海,政治學系國際關係組,政治,64.38,370.2
103,東海,行政管理暨政策學系,,65.2,358.6
103,東海,社會學系,社會學,57.71,346.25
103,東海,社會工作學系,社會工作,63.57,365.5
103,東海,畜產與生物科技學系(A組),,60.83,243.3
103,東海,畜產與生物科技學系(B組),,54.13,216.5
103,東海,畜產與生物科技學系(C組),,63.05,252.2
103,東海,食品科學系(A組),,55.46,443.7
103,東海,食品科學系(B組),,53.95,431.6
103,東海,餐旅管理學系,,64.96,487.2
103,東海,美術學系,,58.63,410.4
103,東海,音樂學系-鋼琴,,61.4,245.58
103,東海,音樂學系-聲樂,,57.47,229.86
103,東海,音樂學系-弦樂.銅管.木管.擊樂,,58.25,233.0
103,東海,建築學系,建築,67.62,490.25
103,東海,工業設計學系,,58.36,393.9
103,東海,景觀學系(社會組),,65.8,329.0
103,東海,景觀學系(自然A組),,61.44,307.2
103,東海,景觀學系(自然B組),,63.47,349.1
103,東海,法律學系,法律,70.8,424.8
103,東海,國際經營管理學位學程(英語專班),外文,68.95,293.03
104,東海,中國文學系,中文,56.67,325.83
104,東海,外國語文學系,外文,63.93,383.6
104,東海,歷史學系,歷史,58.38,335.7
104,東海,日本語言文化學系,化學,56.56,339.35
104,東海,哲學系,哲學,53.01,384.35
104,東海,應用物理學系材料及奈米科技組,物理,34.27,222.78
104,東海,應用物理學系光電組,物理,34.65,225.23
104,東海,化學系化學組,化學,38.44,288.3
104,東海,化學系化學生物組(A組),化學,39.17,293.8
104,東海,化學系化學生物組(B組),化學,46.23,358.3
104,東海,生命科學系生物醫學組,生命科學,54.9,370.6
104,東海,生命科學系生態暨生物多樣性組,生命科學,54.09,311.0
104,東海,應用數學系(A組),數學,37.95,208.7
104,東海,應用數學系(B組),數學,47.44,260.9
104,東海,化學工程與材料工程學系,化學工程,35.73,250.1
104,東海,工業工程與經營資訊學系(A組),工業工程,38.9,272.3
104,東海,工業工程與經營資訊學系(B組),工業工程,49.74,286.0
104,東海,環境科學與工程學系(自然A組),,41.84,271.95
104,東海,環境科學與工程學系(自然B組),,45.18,293.7
104,東海,資訊工程學系資電工程組,資訊工程,42.07,231.4
104,東海,資訊工程學系數位創意組,資訊工程,53.42,293.8
104,東海,資訊工程學系軟體工程組,資訊工程,42.76,235.2
104,東海,電機工程學系IC設計與無線通訊組,電機工程,43.04,215.2
104,東海,電機工程學系奈米電子與能源技術組,電機工程,40.32,201.6
104,東海,企業管理學系(行銷與數位經營組),企業管理,51.05,280.8
104,東海,企業管理學系(綠色與永續發展組),企業管理,49.51,272.28
104,東海,企業管理學系(創業與組織領導組),企業管理,54.44,421.93
104,東海,國際經營與貿易學系,,51.08,255.4
104,東海,會計學系,會計,58.02,449.68
104,東海,財務金融學系,財務金融,54.28,312.1
104,東海,統計學系(自然組),統計,35.55,142.2
104,東海,統計學系(社會組),統計,51.4,205.6
104,東海,資訊管理學系,資訊管理,49.43,284.23
104,東海,經濟學系一般經濟組,經濟,52.6,394.5
104,東海,經濟學系產業經濟組,經濟,51.51,386.35
104,東海,政治學系政治理論組,政治,54.3,312.25
104,東海,政治學系國際關係組,政治,56.96,327.53
104,東海,行政管理暨政策學系,,57.09,314.0
104,東海,社會學系,社會學,52.33,313.95
104,東海,社會工作學系,社會工作,56.8,326.6
104,東海,畜產與生物科技學系(A組),,56.45,225.8
104,東海,畜產與生物科技學系(B組),,49.1,196.4
104,東海,畜產與生物科技學系(C組),,51.75,207.0
104,東海,食品科學系(A組),,48.74,389.9
104,東海,食品科學系(B組),,47.53,380.2
104,東海,餐旅管理學系,,56.63,424.7
104,東海,美術學系,,54.24,379.7
104,東海,音樂學系-聲樂,,60.11,240.44
104,東海,音樂學系-綜合樂器,,50.75,203.0
104,東海,建築學系,建築,62.59,453.8
104,東海,工業設計學系,,52.87,356.85
104,東海,景觀學系(社會組),,55.96,279.8
104,東海,景觀學系(自然A組),,51.88,259.4
104,東海,景觀學系(自然B組),,53.39,293.65
104,東海,法律學系,法律,64.05,384.3
104,東海,國際經營管理學位學程(英語專班),外文,58.89,250.3
105,東海,中國文學系,中文,50.56,290.7
105,東海,外國語文學系,外文,57.85,289.25
105,東海,歷史學系,歷史,51.23,294.58
105,東海,日本語言文化學系,化學,53.99,323.95
105,東海,哲學系,哲學,47.35,343.3
105,東海,應用物理學系材料及奈米科技組,物理,30.56,152.8
105,東海,應用物理學系光電組,物理,29.74,148.7
105,東海,化學系化學組,化學,35.21,246.45
105,東海,化學系化學生物組(A組),化學,37.51,262.55
105,東海,化學系化學生物組(B組),化學,45.84,320.9
105,東海,生命科學系生物醫學組,生命科學,54.14,365.43
105,東海,生命科學系生態暨生物多樣性組,生命科學,52.37,301.1
105,東海,應用數學系(A組),數學,35.43,194.85
105,東海,應用數學系(B組),數學,45.34,249.35
105,東海,化學工程與材料工程學系,化學工程,32.63,261.0
105,東海,工業工程與經營資訊學系(A組),工業工程,34.63,242.4
105,東海,工業工程與經營資訊學系(B組),工業工程,45.72,262.9
105,東海,環境科學與工程學系(自然A組),,38.58,250.8
105,東海,環境科學與工程學系(自然B組),,41.02,266.65
105,東海,資訊工程學系資電工程組,資訊工程,41.38,227.6
105,東海,資訊工程學系數位創意組,資訊工程,48.65,267.6
105,東海,資訊工程學系軟體工程組,資訊工程,41.9,230.45
105,東海,電機工程學系IC設計與無線通訊組,電機工程,37.14,204.25
105,東海,電機工程學系奈米電子與能源技術組,電機工程,35.41,194.75
105,東海,企業管理學系(行銷與數位經營組),企業管理,52.03,299.2
105,東海,企業管理學系(永續與服務創新組),企業管理,50.75,393.3
105,東海,企業管理學系(創業與組織領導組),企業管理,52.41,406.18
105,東海,國際經營與貿易學系,,50.14,250.7
105,東海,會計學系,會計,57.73,447.4
105,東海,財務金融學系,財務金融,57.17,328.7
105,東海,統計學系(自然組),統計,31.64,142.4
105,東海,統計學系(社會組),統計,53.17,239.25
105,東海,資訊管理學系(物聯網與大數據應用組),資訊管理,52.18,300.03
105,東海,資訊管理學系(數位行銷與電子商務應用組),資訊管理,51.3,295.0
105,東海,經濟學系一般經濟組,經濟,49.57,322.2
105,東海,經濟學系產業經濟組,經濟,48.82,317.35
105,東海,政治學系政治理論組,政治,49.53,284.78
105,東海,政治學系國際關係組,政治,52.18,300.03
105,東海,行政管理暨政策學系,,53.49,294.2
105,東海,社會學系,社會學,49.44,296.65
105,東海,社會工作學系,社會工作,50.37,289.6
105,東海,畜產與生物科技學系(A組),,55.08,220.3
105,東海,畜產與生物科技學系(B組),,44.25,177.0
105,東海,畜產與生物科技學系(C組),,57.93,231.7
105,東海,食品科學系(A組),,48.1,384.8
105,東海,食品科學系(B組),,46.59,372.7
105,東海,餐旅管理學系,,53.29,399.7
105,東海,美術學系,,53.31,373.2
105,東海,音樂學系-鋼琴,,60.43,241.7
105,東海,音樂學系-聲樂,,54.62,218.48
105,東海,音樂學系-綜合樂器,,54.98,219.9
105,東海,建築學系,建築,64.23,465.7
105,東海,工業設計學系,,53.7,362.5
105,東海,景觀學系(社會組),,56.64,283.2
105,東海,景觀學系(自然A組),,57.6,288.0
105,東海,景觀學系(自然B組),,57.7,317.35
105,東海,法律學系,法律,64.88,389.25
105,東海,國際經營管理學位學程(英語專班),外文,65.11,276.7
105,東海,永續科學與工程學士學位學程,,26.43,105.7
106,東海,中國文學系,中文,51.18,294.28
106,東海,外國語文學系,外文,57.16,285.8
106,東海,歷史學系,歷史,53.37,306.85
106,東海,日本語言文化學系,化學,55.08,330.5
106,東海,哲學系,哲學,47.99,347.95
106,東海,應用物理學系(A組),物理,35.17,105.5
106,東海,應用物理學系(B組),物理,42.63,127.9
106,東海,化學系化學組,化學,34.79,243.5
106,東海,化學系化學生物組(A組),化學,37.09,259.6
106,東海,化學系化學生物組(B組),化學,44.27,309.9
106,東海,生命科學系生物醫學組,生命科學,50.84,343.2
106,東海,生命科學系生態暨生物多樣性組,生命科學,49.78,286.25
106,東海,應用數學系(A組),數學,33.5,184.25
106,東海,應用數學系(B組),數學,45.9,252.45
106,東海,化學工程與材料工程學系(製程及能源工程組),化學工程,32.41,226.9
106,東海,化學工程與材料工程學系(材料工程組),化學工程,33.16,232.1
106,東海,化學工程與材料工程學系(生化工程組),化學工程,36.38,181.9
106,東海,工業工程與經營資訊學系(A組),工業工程,33.77,236.4
106,東海,工業工程與經營資訊學系(B組),工業工程,43.17,248.2
106,東海,環境科學與工程學系(自然A組),,35.8,232.7
106,東海,環境科學與工程學系(自然B組),,40.11,260.7
106,東海,資訊工程學系資電工程組,資訊工程,39.82,219.0
106,東海,資訊工程學系數位創意組,資訊工程,53.09,292.0
106,東海,資訊工程學系軟體工程組,資訊工程,41.34,227.35
106,東海,電機工程學系IC設計與無線通訊組,電機工程,39.34,216.35
106,東海,電機工程學系奈米電子與能源技術組,電機工程,37.65,207.1
106,東海,企業管理學系(行銷與數位經營組),企業管理,49.51,247.55
106,東海,企業管理學系(永續與服務創新組),企業管理,46.54,232.7
106,東海,企業管理學系(創業與組織領導組),企業管理,49.18,245.9
106,東海,國際經營與貿易學系,,46.82,234.1
106,東海,會計學系,會計,57.29,443.98
106,東海,財務金融學系,財務金融,55.07,316.68
106,東海,統計學系(大數據與資料科學組),統計,31.3,140.85
106,東海,統計學系(大數據與決策管理組),統計,53.09,238.9
106,東海,資訊管理學系(物聯網與大數據應用組),資訊管理,51.9,298.45
106,東海,資訊管理學系(數位行銷與電子商務應用組),資訊管理,49.77,286.2
106,東海,經濟學系一般經濟組,經濟,49.77,323.5
106,東海,經濟學系產業經濟組,經濟,48.93,318.05
106,東海,政治學系政治理論組,政治,49.45,284.33
106,東海,政治學系國際關係組,政治,52.33,300.9
106,東海,行政管理暨政策學系,,54.4,299.2
106,東海,社會學系,社會學,48.06,288.35
106,東海,社會工作學系,社會工作,52.17,300.0
106,東海,畜產與生物科技學系(A組),,55.0,220.0
106,東海,畜產與生物科技學系(B組),,44.35,177.4
106,東海,畜產與生物科技學系(C組),,58.73,234.9
106,東海,食品科學系(A組),,45.04,202.7
106,東海,食品科學系(B組),,49.81,224.15
106,東海,餐旅管理學系,,54.27,407.0
106,東海,美術學系,,54.43,381.0
106,東海,音樂學系-鋼琴,,52.8,211.2
106,東海,音樂學系-聲樂,,54.85,219.4
106,東海,音樂學系-綜合樂器,,59.98,239.9
106,東海,建築學系,建築,64.86,470.25
106,東海,工業設計學系,,49.79,336.05
106,東海,景觀學系(社會組),,57.0,285.0
106,東海,景觀學系(自然A組),,52.52,262.6
106,東海,景觀學系(自然B組),,53.0,291.5
106,東海,法律學系,法律,65.95,395.7
106,東海,國際經營管理學位學程(英語專班),外文,65.22,277.2
106,東海,永續科學與工程學士學位學程,,26.48,132.4
107,東海,中國文學系,中文,51.55,296.39
107,東海,外國語文學系,外文,45.53,193.5
107,東海,歷史學系,歷史,52.31,300.81
107,東海,日本語言文化學系,化學,55.08,330.5
107,東海,哲學系,哲學,49.45,358.48
107,東海,應用物理學系(A組),物理,48.25,144.75
107,東海,應用物理學系(B組),物理,48.87,146.6
107,東海,化學系化學組,化學,42.25,295.73
107,東海,化學系化學生物組(A組),化學,40.26,281.8
107,東海,化學系化學生物組(B組),化學,45.3,317.13
107,東海,生命科學系生物醫學組,生命科學,50.14,338.44
107,東海,生命科學系生態暨生物多樣性組,生命科學,50.78,292.0
107,東海,應用數學系(A組),數學,45.43,249.86
107,東海,應用數學系(B組),數學,49.29,271.11
107,東海,化學工程與材料工程學系(製程及能源工程組),化學工程,39.11,312.9
107,東海,化學工程與材料工程學系(材料工程組),化學工程,41.59,332.7
107,東海,化學工程與材料工程學系(生化工程組),化學工程,42.84,299.9
107,東海,工業工程與經營資訊學系(智慧設計與生產組),工業工程,43.34,303.4
107,東海,工業工程與經營資訊學系(智慧經營與管理組),工業工程,48.51,278.95
107,東海,環境科學與工程學系(自然A組),,40.72,264.65
107,東海,環境科學與工程學系(自然B組),,43.93,285.53
107,東海,資訊工程學系資電工程組,資訊工程,49.58,272.7
107,東海,資訊工程學系數位創意組,資訊工程,58.91,324.0
107,東海,資訊工程學系軟體工程組,資訊工程,50.24,276.3
107,東海,電機工程學系IC設計與無線通訊組,電機工程,53.05,225.45
107,東海,電機工程學系奈米電子與能源技術組,電機工程,55.13,248.1
107,東海,企業管理學系(行銷與數位經營組),企業管理,51.49,283.2
107,東海,企業管理學系(服務創新與經營組),企業管理,48.62,243.1
107,東海,企業管理學系(創業與組織領導組),企業管理,51.18,281.5
107,東海,國際經營與貿易學系,,50.02,250.1
107,東海,會計學系,會計,56.44,437.4
107,東海,財務金融學系,財務金融,56.07,322.4
107,東海,統計學系(巨量資料管理組),統計,44.49,200.2
107,東海,統計學系(決策管理組),統計,53.9,242.55
107,東海,資訊管理學系(物聯網與大數據應用組),資訊管理,55.37,318.35
107,東海,資訊管理學系(數位行銷與電子商務應用組),資訊管理,53.26,306.25
107,東海,經濟學系一般經濟組,經濟,50.63,329.1
107,東海,經濟學系產業經濟組,經濟,50.24,326.55
107,東海,政治學系政治理論組,政治,52.09,299.5
107,東海,政治學系國際關係組,政治,53.29,306.4
107,東海,行政管理暨政策學系,,54.04,297.2
107,東海,社會學系,社會學,49.57,297.4
107,東海,社會工作學系,社會工作,50.63,291.1
107,東海,畜產與生物科技學系(A組),,52.84,211.35
107,東海,畜產與生物科技學系(B組),,44.55,178.2
107,東海,畜產與生物科技學系(C組),,57.83,231.3
107,東海,食品科學系(A組),,45.0,360.0
107,東海,食品科學系(B組),,45.34,362.7
107,東海,餐旅管理學系,,50.77,380.8
107,東海,美術學系,,56.06,392.45
107,東海,音樂學系,,59.25,236.98
107,東海,建築學系,建築,66.58,482.7
107,東海,工業設計學系,,51.84,349.9
107,東海,景觀學系(社會組),,57.64,288.2
107,東海,景觀學系(自然A組),,55.78,278.9
107,東海,景觀學系(自然B組),,54.46,299.55
107,東海,法律學系,法律,64.95,389.7
107,東海,國際經營管理學位學程(英語專班),外文,59.74,253.9
107,東海,永續科學與工程學士學位學程,,27.53,151.4
108,東海,中國文學系,中文,60.02,345.1
108,東海,外國語文學系,外文,61.76,262.5
108,東海,歷史學系,歷史,61.44,353.28
108,東海,日本語言文化學系,化學,62.95,330.5
108,東海,哲學系,哲學,59.37,430.45
108,東海,應用物理學系(A組),物理,55.47,166.4
108,東海,應用物理學系(B組),物理,62.25,186.75
108,東海,化學系化學組,化學,50.3,301.78
108,東海,化學系化學生物組(A組),化學,50.22,301.33
108,東海,化學系化學生物組(B組),化學,55.09,330.55
108,東海,生命科學系生物醫學組,生命科學,63.29,427.2
108,東海,生命科學系生態暨生物多樣性組,生命科學,62.66,360.3
108,東海,應用數學系(A組),數學,54.52,299.88
108,東海,應用數學系(B組),數學,65.76,361.66
108,東海,化學工程與材料工程學系(製程及能源工程組),化學工程,52.43,419.45
108,東海,化學工程與材料工程學系(材料工程組),化學工程,51.84,414.7
108,東海,化學工程與材料工程學系(生化工程組),化學工程,53.56,374.95
108,東海,工業工程與經營資訊學系(智慧設計與生產組),工業工程,55.05,302.8
108,東海,工業工程與經營資訊學系(智慧經營與管理組),工業工程,60.73,334.03
108,東海,環境科學與工程學系(自然A組),,55.49,360.7
108,東海,環境科學與工程學系(自然B組),,55.91,363.4
108,東海,資訊工程學系資電工程組,資訊工程,58.87,323.8
108,東海,資訊工程學系數位創意組,資訊工程,66.56,366.1
108,東海,資訊工程學系軟體工程組,資訊工程,57.35,315.4
108,東海,電機工程學系,電機工程,61.45,276.53
108,東海,企業管理學系(行銷與數位經營組),企業管理,60.3,346.7
108,東海,企業管理學系(服務創新與經營組),企業管理,59.2,340.4
108,東海,企業管理學系(創業與組織領導組),企業管理,59.44,341.8
108,東海,國際經營與貿易學系,,58.96,294.8
108,東海,會計學系,會計,64.7,323.5
108,東海,財務金融學系,財務金融,64.66,371.8
108,東海,統計學系(巨量資料管理組),統計,54.26,244.18
108,東海,統計學系(決策管理組),統計,64.8,291.6
108,東海,資訊管理學系(物聯網與大數據應用組),資訊管理,65.22,375.0
108,東海,資訊管理學系(數位行銷與電子商務應用組),資訊管理,63.82,366.95
108,東海,經濟學系一般經濟組,經濟,57.69,374.98
